CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
8.09,5.66,15,23,77,30,0,8,32,6,18,50.62
7.42,8.06,20,97,64,11,1,97,81,2,19,81.9
9.05,5.11,57,64,89,49,1,2,57,23,12,56.09
6.26,5.99,57,11,77,55,1,56,44,38,17,67.32
8.23,5.98,32,94,97,57,1,34,85,6,6,65.78
5.11,6.88,31,28,92,11,0,73,63,27,0,54.85
7.66,9.66,39,82,92,97,1,84,98,67,7,93.08
5.81,5.36,17,64,53,63,1,91,76,44,1,70.65
5.42,5.65,41,10,62,66,1,47,34,10,9,60.62
8.81,8.72,88,31,77,65,0,50,58,3,3,75.32
5.53,6.44,18,83,82,40,1,25,56,38,1,48.85
6.6,7.84,84,65,93,78,0,41,45,7,2,70.68
8.63,8.06,96,29,81,92,0,5,62,25,17,72.06
6.82,5.45,56,41,93,32,0,49,51,42,13,60.52
5.63,5.31,57,15,70,71,0,53,53,4,4,62.48
6.78,7.06,17,36,91,88,1,94,53,12,20,91.3
7.8,6.46,97,70,75,87,1,51,39,5,14,82.45
9.22,7.8,22,34,84,77,1,28,45,5,10,70.71
5.93,7.29,58,21,58,97,1,28,73,10,17,70.85
5.41,6.35,93,87,74,4,1,64,60,48,4,58.17
5.33,7.65,74,78,98,33,0,12,57,7,3,50.32
9.13,5.85,87,70,66,67,1,37,88,18,6,70.87
8.64,9.25,36,38,71,15,0,27,71,2,18,62.81
5.98,8.88,50,88,78,50,0,41,30,9,15,70.02
9.2,6.67,80,43,99,91,1,18,34,22,5,69.29
5.59,7.62,92,14,60,69,1,64,54,14,18,77.61
6.54,5.49,36,67,82,23,1,90,77,57,3,66.5
7.79,6.46,62,65,57,19,1,42,35,17,19,64.08
6.7,7.83,76,51,98,22,0,84,85,60,0,68.89
6.85,7.06,30,100,60,58,0,22,57,22,11,61.44
8.8,5.72,86,35,57,43,0,38,71,49,5,60.77
9.14,7.69,45,97,90,98,0,55,30,13,2,83.04
8.62,8.04,68,41,56,79,0,34,36,2,9,73.39
7.65,7.76,19,63,61,8,1,10,86,7,11,48.68
8.98,9.2,65,55,71,41,0,8,74,46,10,60.5
6.08,9.28,62,74,82,70,0,22,72,32,9,66.13
7.01,5.72,51,62,77,46,0,60,58,57,20,71.01
5.68,9.2,73,94,96,94,1,32,89,47,8,75.27
7.9,8.11,47,88,71,75,0,31,55,43,8,70.03
7.43,5.81,94,12,64,17,1,27,32,29,0,46.21
7.06,9.28,64,45,63,54,1,85,86,7,0,78.91
9.08,6.08,48,41,50,30,0,88,53,35,7,73.45
8.64,9.75,50,29,56,55,0,65,50,22,0,73.86
9.47,7.45,51,37,59,88,0,86,89,18,8,89.97
8.92,5.53,34,23,79,55,0,39,90,66,15,65.25
7.53,8.86,27,29,55,45,1,86,98,56,13,79.32
7.42,9.54,21,95,96,12,0,64,33,23,12,70.18
7.62,8.28,78,69,87,73,0,81,55,18,6,85.9
7.56,5.39,22,96,65,87,0,57,43,13,17,79.35
8.28,7.9,65,46,84,85,1,11,89,41,4,64.86
6.75,8.63,49,77,99,1,1,82,99,3,4,69.33
7.51,8.43,48,10,61,77,0,86,33,19,15,86.03
8.5,9.59,79,77,59,86,1,67,85,48,19,94.13
8.34,7.85,47,34,83,54,1,44,97,5,18,74.36
6.63,6.1,90,41,99,5,0,6,37,24,16,46.47
5.28,5.13,54,78,100,62,0,81,94,12,3,71.92
7.82,6.84,66,62,70,61,0,89,66,23,14,85.88
7.74,9.7,32,98,71,47,1,78,96,19,17,86.74
9.0,9.8,68,12,53,18,1,34,46,5,19,67.77
7.12,7.18,57,65,98,14,1,91,73,19,8,74.18
8.13,7.88,24,41,79,57,1,13,33,12,19,63.83
6.41,6.31,18,35,91,22,1,9,96,38,1,40.05
6.49,9.15,67,19,50,79,1,57,87,53,0,71.2
6.47,9.72,18,55,85,13,1,29,52,14,10,55.76
6.15,8.45,19,52,95,72,1,38,71,54,20,71.83
7.15,8.19,44,30,70,70,1,99,98,55,5,84.32
9.43,5.99,95,100,55,41,1,18,99,42,13,65.12
9.21,7.63,96,52,69,90,1,79,88,5,1,89.27
5.63,6.59,46,79,87,99,1,16,92,55,14,66.86
5.91,8.76,23,61,76,65,0,75,46,19,11,77.85
5.16,5.27,80,79,86,13,0,52,35,34,12,56.15
7.33,9.46,22,33,84,22,0,66,40,30,16,70.46
5.23,8.11,24,15,66,48,0,88,43,10,19,77.04
8.64,5.21,62,38,95,89,0,44,32,4,18,78.63
6.77,8.78,68,64,84,95,1,66,36,16,6,84.25
6.98,5.04,15,47,68,76,0,70,32,16,17,75.62
7.78,8.33,44,73,78,25,1,79,55,53,7,73.08
9.42,5.37,27,73,58,12,1,87,71,37,8,71.04
6.57,6.34,68,23,73,12,0,45,49,39,17,57.08
9.3,8.43,55,55,59,89,0,12,39,19,0,65.72
5.21,9.78,58,99,60,10,0,6,57,12,17,52.55
7.53,6.29,98,24,52,58,1,79,52,1,12,80.02
8.35,5.23,20,51,52,14,1,26,54,21,11,50.28
8.43,5.36,28,93,81,91,0,99,39,2,1,88.44
5.8,8.19,16,21,65,14,1,94,82,80,19,71.64
8.71,9.76,87,26,60,20,0,40,45,21,15,68.23
8.64,8.43,95,49,50,49,0,69,75,58,13,80.47
7.25,6.78,66,33,93,29,0,81,99,77,5,69.24
8.35,6.06,92,57,72,74,1,29,55,21,7,68.42
7.05,6.03,88,69,93,93,1,90,68,67,15,91.75
6.88,9.3,75,13,100,18,1,99,36,32,0,73.4
6.17,7.3,90,32,89,30,0,39,38,18,9,59.09
6.2,9.1,94,24,80,60,1,80,79,10,20,87.03
8.74,7.71,85,52,52,62,1,83,35,21,7,84.14
8.99,9.04,89,17,67,19,1,38,58,22,13,66.33
8.63,7.13,56,66,92,80,0,74,31,18,6,83.51
5.08,6.14,45,61,79,3,1,6,94,9,4,36.85
7.54,6.76,65,20,61,39,0,80,47,45,12,72.65
8.16,5.03,45,21,84,100,1,30,41,1,3,66.61
9.11,6.15,53,78,84,46,0,76,37,18,5,76.32
7.15,9.15,90,84,65,70,1,7,35,29,16,68.08
8.08,8.51,44,90,55,28,1,16,81,16,15,61.28
7.67,8.61,27,71,64,92,1,4,36,18,14,67.39
7.68,7.26,10,18,76,52,0,18,45,3,18,59.85
7.93,5.67,67,88,50,46,0,9,97,82,20,59.13
7.57,5.11,67,80,69,8,1,12,48,44,14,48.0
9.25,7.67,65,84,69,53,0,77,53,21,6,82.21
8.77,7.08,89,99,63,48,1,3,56,34,1,56.21
6.33,6.29,42,42,70,26,1,56,68,24,0,55.71
6.34,5.75,83,20,85,16,0,12,42,16,7,43.68
9.47,6.54,77,97,64,56,1,35,72,37,1,67.64
8.28,5.28,85,52,56,45,1,29,61,48,10,60.11
6.49,5.18,88,16,95,33,0,28,81,17,11,54.15
5.55,5.58,100,30,57,17,0,14,40,8,8,44.07
7.74,8.76,66,71,62,14,0,81,39,29,19,78.41
7.02,7.54,98,45,60,53,0,99,52,29,4,82.04
6.54,7.42,89,74,60,89,1,50,41,38,19,81.32
9.4,5.31,41,30,65,12,1,49,59,31,0,54.08
9.23,9.26,93,70,76,72,1,10,75,66,9,70.24
6.32,6.68,83,33,75,24,1,77,82,21,17,72.66
7.44,8.14,30,97,68,59,1,67,44,18,19,82.78
7.84,9.65,93,92,73,22,1,47,68,15,8,71.05
9.18,6.17,30,49,83,22,0,20,41,1,2,51.07
5.1,8.58,76,12,52,50,1,95,68,34,9,77.54
8.28,8.23,83,47,87,25,0,87,39,7,3,76.92
8.59,8.25,39,12,58,70,1,21,64,58,3,60.18
6.71,6.32,47,57,93,57,1,91,37,17,12,81.09
6.05,5.41,46,52,80,30,0,75,49,24,5,62.96
5.27,7.0,81,93,82,75,1,89,61,50,3,80.89
7.79,5.51,47,52,73,45,1,42,73,66,18,65.36
6.0,5.67,100,59,83,69,0,57,71,29,12,73.1
9.41,8.73,19,80,55,25,1,89,90,29,15,83.77
5.79,6.51,17,40,56,74,0,77,62,6,15,76.68
6.53,6.52,94,87,67,12,0,74,62,2,2,65.76
5.18,5.06,77,10,70,21,1,32,32,13,15,50.02
8.21,6.62,78,74,94,28,0,58,87,9,15,73.19
5.08,8.21,85,74,98,88,1,19,66,66,0,61.78
7.65,6.43,63,85,79,74,1,65,68,47,15,81.81
6.8,8.53,40,33,62,35,1,48,65,35,1,59.12
6.99,9.0,71,22,68,49,0,46,81,25,0,63.59
9.03,9.22,57,31,68,21,1,47,74,24,5,65.21
8.29,7.14,43,96,99,17,1,70,50,27,3,68.75
8.6,7.31,70,34,53,62,1,32,50,38,3,63.48
7.62,8.95,17,50,95,70,0,46,95,73,19,76.59
7.46,7.33,39,36,83,31,1,80,89,32,2,69.08
8.39,5.36,56,22,98,33,1,66,73,43,13,69.17
6.73,7.83,71,48,84,12,0,92,57,13,8,73.32
8.47,9.6,82,95,86,20,0,2,94,1,9,58.63
5.48,6.95,88,23,52,48,0,43,95,30,9,60.55
7.74,6.84,99,30,91,94,0,2,82,82,5,61.03
5.09,7.0,68,37,64,9,1,86,33,28,9,64.02
5.3,5.53,73,96,89,76,1,59,67,43,16,76.06
7.1,8.54,47,98,86,11,1,8,89,49,6,49.81
8.06,7.06,85,68,51,79,1,40,56,54,12,74.45
7.85,8.36,64,87,63,99,1,53,31,31,13,85.07
5.53,5.32,53,96,78,88,1,51,66,22,10,72.63
8.75,7.75,64,12,100,85,0,54,55,55,10,78.32
9.28,5.79,95,62,86,5,1,24,67,43,17,58.99
7.55,7.52,20,53,78,35,1,21,80,2,7,55.35
9.27,7.37,70,39,95,76,1,48,61,38,3,74.81
7.55,6.94,97,22,65,4,1,65,88,78,18,66.65
5.19,9.65,25,100,90,8,1,94,51,49,16,76.07
8.72,6.86,82,50,70,43,1,45,48,44,0,63.31
8.38,5.22,18,77,54,51,0,74,94,40,6,71.2
5.12,7.7,20,74,88,40,0,21,71,13,7,52.29
6.69,8.97,10,75,87,62,0,7,32,12,8,57.57
6.09,8.3,22,77,73,30,1,78,33,6,13,73.75
6.78,7.13,95,49,86,0,1,86,58,21,8,69.54
9.35,6.61,79,51,79,14,0,94,52,14,4,76.21
6.14,5.9,76,19,74,21,0,33,55,37,11,51.35
6.62,6.72,20,48,66,33,0,3,52,12,7,44.47
8.77,6.16,84,56,51,67,0,45,32,1,1,69.17
7.74,5.55,43,77,59,84,0,27,85,6,0,62.6
6.51,8.12,56,29,83,32,1,0,44,5,9,48.76
8.5,7.04,82,31,99,66,0,25,40,6,6,65.96
6.41,5.15,24,54,93,59,1,28,85,36,5,54.94
8.91,8.68,32,66,95,36,0,62,85,7,2,71.89
8.63,7.81,38,76,50,27,0,34,56,26,4,58.85
6.92,8.63,93,50,56,17,1,89,39,3,5,75.07
8.84,5.56,86,96,94,52,0,96,64,8,16,91.44
9.31,5.89,21,95,63,77,1,8,92,59,4,60.14
8.2,7.88,84,91,76,30,1,30,52,4,9,65.61
7.61,7.66,76,11,95,49,1,94,88,7,10,83.56
8.52,7.71,83,65,65,29,0,94,88,81,6,79.46
5.4,6.72,41,48,62,50,1,79,40,22,4,67.99
9.43,5.52,93,85,72,100,0,11,37,32,5,68.8
9.22,6.66,76,58,50,37,0,57,86,28,20,76.31
6.14,8.07,68,100,58,41,0,49,52,12,4,65.49
7.42,7.6,98,33,60,34,0,8,97,9,19,58.83
7.44,6.38,96,63,80,38,0,29,38,26,9,60.12
7.0,9.23,58,72,56,55,0,55,34,13,7,72.87
8.31,7.82,71,54,87,33,1,13,80,46,15,60.37
8.91,9.69,41,12,100,84,0,49,51,24,8,79.25
8.44,8.04,91,25,60,1,1,51,63,27,1,58.16
5.18,9.42,91,78,86,8,0,1,82,21,18,51.85
7.18,7.32,76,100,59,48,1,20,85,5,20,68.01
6.54,7.62,71,59,100,40,1,21,62,52,0,53.17
6.19,5.34,31,65,64,33,0,53,72,55,3,54.8
6.96,9.33,66,69,95,91,1,32,88,40,14,78.72
6.03,5.04,14,75,57,7,0,6,79,44,12,38.32
7.31,5.68,79,82,90,59,1,100,96,34,16,89.72
9.05,5.37,60,53,65,5,0,63,56,2,18,67.91
5.99,9.23,56,73,74,60,1,78,70,38,14,82.79
7.25,6.22,93,47,79,1,0,67,34,3,18,67.86
8.81,7.74,57,20,83,87,0,12,82,22,0,62.52
9.18,8.64,15,37,50,77,0,46,84,27,6,73.31
8.24,8.1,10,18,69,22,0,38,82,45,3,53.74
6.99,6.62,64,81,68,62,0,40,70,50,0,62.41
5.86,6.77,41,80,71,87,0,20,95,54,5,60.9
6.79,8.52,99,54,64,85,1,75,66,13,17,90.86
8.6,6.96,48,48,51,61,0,64,100,50,5,72.99
8.92,9.16,31,94,80,70,1,13,66,37,16,71.97
5.03,9.68,71,37,76,51,1,93,85,82,4,77.33
5.18,5.03,36,34,89,5,1,96,40,26,4,59.96
6.21,5.87,20,41,52,75,1,47,78,43,4,61.78
6.84,7.73,62,82,65,77,0,60,84,36,5,76.14
8.32,6.21,64,70,76,28,1,66,86,82,10,69.6
7.52,5.06,15,90,73,32,0,33,34,30,7,53.24
8.63,8.55,22,97,53,54,0,93,40,4,0,83.11
8.85,5.35,24,72,94,41,0,94,31,7,14,82.08
7.53,8.25,18,76,76,32,1,71,66,55,10,71.8
5.96,5.6,58,81,89,27,1,88,43,15,18,76.07
8.45,7.69,100,80,86,95,0,59,77,75,3,83.42
6.84,7.12,54,34,90,76,1,18,99,39,7,61.23
8.92,9.64,25,48,52,77,1,2,88,66,6,61.79
6.07,6.84,58,55,50,65,1,13,45,11,4,54.33
6.92,8.4,28,53,74,93,0,71,100,82,20,87.07
5.58,5.69,60,60,61,39,0,12,93,16,2,45.09
7.41,8.98,34,51,95,2,0,71,76,60,16,69.12
9.5,9.01,89,44,82,64,1,91,42,29,7,91.37
6.39,7.64,26,97,89,71,1,80,82,62,6,79.65
6.08,8.18,43,17,90,49,1,44,87,17,1,59.73
6.61,5.59,23,94,84,96,0,0,53,8,12,60.77
8.19,8.7,48,77,76,99,1,87,36,1,5,94.18
7.3,8.25,59,85,70,20,1,0,92,32,15,53.36
6.4,5.76,41,51,54,57,1,45,99,21,1,58.83
6.64,6.36,10,92,84,48,1,48,75,17,19,69.49
7.89,7.71,29,90,91,26,1,0,39,21,5,48.99
5.75,8.71,91,84,60,25,0,2,92,17,5,49.15
5.44,6.64,18,63,70,56,1,21,47,24,18,58.09
6.72,8.42,37,24,70,67,0,32,85,81,1,58.71
7.28,6.97,19,86,90,49,0,92,54,14,8,80.08
8.44,8.9,32,68,71,72,0,9,31,10,17,68.56
6.18,7.49,80,57,76,16,0,72,67,65,3,62.95
7.74,8.33,15,62,89,50,0,26,38,33,18,65.15
6.7,6.16,89,91,98,63,1,56,83,46,11,75.19
6.69,7.58,49,84,99,100,1,89,74,61,11,92.12
9.43,6.13,43,70,61,64,0,86,63,53,17,86.85
7.91,8.46,65,63,73,82,0,61,95,42,17,86.02
6.92,5.64,14,35,65,51,0,34,88,61,0,50.91
6.33,6.95,79,21,70,85,0,63,30,23,10,75.55
9.14,6.02,50,44,80,44,1,65,57,21,13,74.71
7.46,9.76,85,21,74,68,1,18,37,36,3,62.59
7.54,7.01,56,53,62,29,0,77,91,87,17,73.85
6.57,5.09,46,36,80,74,1,36,70,68,4,58.77
5.36,8.2,84,61,79,26,0,20,73,65,14,54.68
5.98,9.26,51,46,70,39,0,20,77,66,11,56.12
5.67,9.71,31,59,62,37,0,65,81,27,13,71.07
6.26,6.44,38,86,81,24,1,76,62,27,19,73.0
9.26,5.4,41,51,86,22,0,61,44,14,16,69.23
6.21,7.58,29,14,69,56,0,15,74,38,8,52.04
6.27,5.36,68,85,100,98,1,25,93,89,14,69.8
5.91,6.71,36,55,82,38,0,65,94,15,12,67.31
7.0,8.55,24,11,83,43,1,90,45,23,18,80.74
5.53,9.0,51,64,53,64,0,70,47,39,5,72.88
6.87,5.71,21,35,84,45,0,60,60,31,13,65.24
8.39,5.78,85,84,50,67,1,7,86,67,9,60.27
7.35,9.29,15,82,57,11,0,69,52,1,19,73.48
9.03,5.64,71,60,67,92,0,100,74,41,19,98.17
6.46,8.52,80,53,56,70,1,51,96,81,20,78.19
5.82,5.07,68,51,51,26,1,77,42,28,5,61.95
8.75,9.07,51,80,64,44,0,47,84,35,17,76.53
8.56,5.7,57,29,96,25,0,31,56,27,9,56.03
7.26,5.71,22,71,80,34,0,80,90,5,7,70.07
6.42,7.11,32,54,90,99,1,27,34,2,6,68.1
6.31,6.2,55,94,78,63,0,85,65,56,5,76.78
7.8,6.8,60,45,98,17,0,90,64,56,11,73.79
6.96,5.67,12,50,86,1,1,27,47,25,13,46.93
7.53,5.45,16,87,83,46,0,43,81,4,19,67.83
8.78,8.95,19,17,79,69,1,33,94,20,15,72.44
7.46,8.01,94,78,63,1,1,48,46,8,1,59.05
6.4,5.16,94,64,100,58,1,93,71,21,2,78.22
7.46,9.5,25,62,57,54,0,45,78,75,11,69.15
5.12,8.72,47,86,64,48,1,54,48,43,5,65.03
7.71,5.78,100,34,69,58,0,10,42,33,0,51.73
7.97,7.31,54,38,88,45,1,75,96,2,15,79.66
7.41,8.26,20,48,92,70,1,57,63,44,10,74.63
9.13,9.4,41,93,56,11,0,20,40,26,11,59.24
6.52,6.9,21,26,94,69,1,72,69,47,20,78.47
7.69,8.75,89,33,82,20,0,23,45,40,1,52.76
7.13,6.38,87,81,95,32,1,79,60,10,9,76.17
8.38,6.61,75,71,84,14,0,7,47,24,9,50.55
7.49,8.51,31,41,58,40,1,93,51,35,4,76.18
6.13,8.16,28,40,98,98,1,37,89,35,8,71.52
9.1,7.8,51,78,86,35,1,53,65,9,11,73.93
6.51,8.02,27,66,67,23,1,46,42,11,10,60.77
8.67,8.76,77,31,51,43,1,87,78,53,1,78.29
7.26,9.8,73,26,75,17,0,32,86,73,8,57.65
8.67,5.84,62,80,86,78,1,2,38,25,12,63.12
5.22,5.31,87,22,78,18,0,58,31,21,20,60.61
8.65,7.82,64,74,61,43,0,48,53,39,2,66.67
5.62,8.95,85,82,89,9,0,85,46,37,14,74.55
6.57,7.7,97,67,52,53,0,4,42,32,3,52.39
6.22,8.65,99,18,88,18,0,56,63,51,10,63.53
6.54,9.01,34,33,81,98,0,93,49,39,13,91.23
5.92,7.2,29,30,55,39,1,89,87,46,3,68.27
8.19,6.36,70,31,97,74,0,37,31,17,7,68.26
5.37,5.7,21,34,100,45,0,11,55,29,1,41.88
9.14,9.28,25,34,52,100,1,42,90,59,10,79.97
7.86,7.65,84,71,64,83,0,70,85,81,5,81.79
6.11,5.51,24,24,88,97,0,62,36,2,2,70.34
8.84,5.07,42,81,93,84,1,46,44,37,18,78.39
6.99,5.03,70,89,90,47,1,98,58,57,17,83.68
7.99,6.54,35,26,79,62,0,20,92,83,16,61.01
7.77,5.57,45,95,55,28,0,88,80,51,16,76.83
5.9,5.37,98,81,50,95,1,91,63,27,10,87.7
8.88,9.17,14,18,59,54,0,25,35,25,6,60.59
9.04,7.55,14,12,59,13,0,98,68,60,3,69.64
5.81,9.49,25,23,71,36,0,74,79,40,11,70.06
5.58,6.99,62,64,97,6,1,40,87,57,17,56.95
8.98,6.04,69,50,85,73,0,96,91,58,12,89.93
6.51,8.83,10,71,52,40,0,90,100,9,14,79.78
7.26,9.75,97,34,96,49,0,17,90,84,1,58.69
7.93,5.89,66,69,83,2,0,51,90,18,4,56.96
7.52,8.37,76,91,53,67,1,62,83,51,7,79.08
5.95,6.68,73,78,57,94,0,32,61,9,5,68.3
8.38,9.79,99,92,87,43,1,7,55,7,2,62.8
6.93,8.29,29,55,100,91,0,72,63,32,2,80.0
7.92,9.36,18,81,80,34,1,31,86,76,19,67.34
5.21,7.57,22,54,59,14,0,11,98,77,5,39.38
6.07,8.28,57,65,77,46,0,9,81,71,20,58.65
8.39,7.74,43,54,94,33,0,82,32,19,19,81.44
5.69,7.38,100,48,79,40,1,19,46,32,12,56.75
8.38,9.11,68,62,64,78,1,45,98,84,7,76.94
5.24,6.13,40,80,58,42,1,50,100,18,19,65.79
6.15,8.12,80,97,67,95,1,81,75,41,17,93.39
9.01,5.29,28,17,77,8,0,68,76,25,5,59.46
9.33,6.89,77,98,98,91,0,93,54,7,10,98.87
8.33,8.26,82,71,74,72,1,5,81,20,12,67.42
6.46,5.99,88,31,50,24,1,47,30,27,19,61.38
6.58,6.92,62,90,76,33,1,10,50,7,15,56.5
8.41,7.4,75,83,52,85,1,18,30,22,5,67.86
8.97,8.94,32,32,81,4,1,85,30,24,10,72.93
5.19,8.48,30,35,89,8,0,49,68,62,8,52.72
6.85,7.93,20,28,67,20,1,31,45,10,7,52.22
7.73,5.35,44,40,67,86,1,54,97,18,16,76.91
7.29,6.77,72,17,92,22,1,94,30,20,10,74.32
7.24,7.99,93,20,64,34,0,64,95,19,16,73.61
6.58,7.37,100,46,71,71,0,26,30,19,3,62.23
6.4,5.42,86,20,64,29,1,96,61,32,20,77.36
6.47,6.91,82,68,94,45,0,19,83,67,9,57.07
6.61,6.75,26,60,85,97,0,77,57,21,9,82.75
7.42,6.91,33,83,79,3,0,95,60,52,16,74.17
7.49,8.64,64,76,72,67,0,72,38,31,20,86.85
6.63,5.15,78,38,54,96,0,4,94,91,19,61.61
8.72,6.7,91,50,56,15,1,47,36,6,3,61.04
8.72,7.94,31,12,98,70,0,93,62,37,18,90.15
9.38,9.31,79,12,52,39,0,31,54,30,0,61.22
6.62,6.6,78,63,95,87,1,47,71,42,10,75.17
6.17,7.04,56,28,84,33,0,43,74,52,20,62.85
7.92,9.19,18,70,71,49,1,66,82,76,10,75.54
5.28,8.74,10,85,63,72,0,41,30,24,12,67.35
8.36,5.84,98,81,55,85,0,2,71,47,3,60.24
6.48,9.34,23,56,59,62,0,88,95,43,0,77.18
6.96,6.49,21,48,70,77,1,33,49,12,2,61.4
7.71,7.89,91,41,57,69,0,51,32,3,19,80.33
7.98,7.04,78,46,89,92,0,36,58,16,19,79.86
8.07,9.0,45,64,93,71,0,98,92,18,15,95.47
5.03,7.38,70,43,60,68,0,19,68,22,0,53.3
5.08,6.97,27,61,98,83,1,25,90,33,16,65.5
8.68,5.47,20,43,100,16,0,14,65,55,4,44.39
5.34,8.61,16,12,94,100,1,34,80,68,1,63.31
9.48,6.35,68,35,86,48,1,45,72,59,18,72.75
5.31,8.18,35,35,91,38,0,6,76,55,0,42.63
8.6,5.98,54,89,58,25,0,100,30,19,13,81.15
8.44,6.21,95,41,60,96,0,96,87,53,13,94.59
5.15,6.79,97,59,78,68,1,53,83,59,19,74.56
9.32,5.79,88,37,94,14,1,93,72,3,18,82.34
9.44,5.02,60,63,97,25,0,69,61,21,0,66.47
6.77,8.02,51,21,77,6,0,44,74,21,12,56.7
9.5,8.52,78,48,54,100,0,88,47,12,15,99.0
7.33,6.11,48,79,80,1,1,91,50,35,9,69.18
8.52,7.24,86,54,87,42,1,76,53,42,5,76.48
6.84,7.46,30,79,99,87,1,17,86,53,12,67.16
8.24,6.9,80,62,96,96,0,54,47,25,12,83.81
8.14,8.91,83,88,57,89,0,51,87,30,11,84.99
6.38,9.06,58,17,74,45,0,79,56,55,6,72.06
8.89,9.43,23,34,67,17,0,6,60,60,15,52.82
9.04,9.61,16,93,51,50,1,54,59,36,7,75.01
8.51,6.13,61,14,51,30,1,71,59,22,0,64.22
5.63,7.88,13,11,77,64,1,99,46,12,3,76.49
5.63,8.95,56,61,96,66,0,29,73,10,6,64.6
8.38,5.53,50,45,58,28,1,28,49,30,20,59.72
7.68,7.27,72,45,65,42,0,5,37,4,6,52.71
7.39,8.38,31,65,66,7,1,37,32,11,10,57.08
6.73,9.27,66,22,77,91,1,99,49,3,5,91.92
7.25,6.8,58,26,53,62,0,88,39,5,1,75.78
6.32,8.37,89,44,82,5,1,12,62,18,2,45.75
7.44,5.75,47,10,57,13,1,57,55,30,10,57.02
7.89,7.15,33,83,70,54,1,64,82,15,11,76.23
7.53,8.58,79,69,79,77,0,13,34,25,19,71.35
5.18,5.24,43,61,60,28,1,73,44,40,7,59.92
8.62,8.82,64,85,91,35,1,26,63,12,2,63.34
9.39,7.46,18,66,61,68,1,27,79,35,19,72.62
9.04,7.14,78,31,77,98,1,1,31,30,0,61.37
8.78,7.75,24,66,78,71,0,100,89,42,14,92.7
8.24,5.88,59,69,82,16,1,23,80,28,18,58.35
6.91,9.72,20,79,83,71,0,57,69,8,0,73.92
9.27,6.45,21,37,67,9,0,94,86,30,10,72.87
9.36,8.79,58,27,82,91,1,25,63,17,13,77.36
7.15,8.17,16,97,98,88,0,90,77,50,14,92.08
5.85,5.32,30,93,92,76,0,86,94,59,16,82.11
7.67,8.73,19,76,70,30,1,37,61,54,2,58.06
6.85,9.74,96,39,86,72,1,74,60,16,16,89.11
6.38,6.34,58,27,66,5,1,89,63,21,5,63.91
9.02,6.74,36,37,75,66,1,40,51,21,11,70.26
9.47,6.98,68,57,63,43,1,74,58,58,16,80.71
7.54,5.47,47,44,57,33,0,27,51,9,10,54.14
7.95,6.46,56,60,86,17,1,90,37,23,19,78.64
8.23,8.63,51,32,99,19,0,14,91,53,5,51.7
5.67,9.0,82,49,64,44,1,97,40,34,20,86.07
6.49,5.53,74,64,77,46,1,97,30,25,12,79.32
9.17,7.57,45,96,58,65,1,86,83,32,14,90.62
8.54,8.61,10,40,89,93,0,69,85,51,0,79.94
5.94,7.23,66,23,94,1,1,63,35,20,15,61.11
8.67,8.22,94,68,55,58,1,8,86,34,9,64.14
8.93,6.9,58,77,90,77,1,55,68,37,17,83.81
8.91,5.15,69,73,53,91,1,52,36,11,19,83.47
6.62,7.04,74,35,55,21,0,74,51,44,13,67.47
9.46,9.26,24,16,94,80,0,10,59,27,15,69.36
5.38,9.04,56,75,72,16,0,60,43,43,20,67.82
8.35,7.2,81,33,93,16,0,32,96,45,19,62.87
7.84,6.97,52,49,95,54,1,72,35,11,9,76.97
7.73,8.35,82,63,76,98,1,46,79,78,16,84.01
8.15,5.37,76,31,85,43,0,52,82,53,5,63.31
6.86,7.29,61,13,58,25,0,63,54,33,6,61.25
7.07,6.93,61,39,87,47,1,16,94,20,17,60.48
7.62,5.67,69,54,77,31,1,57,51,2,6,64.77
8.27,9.77,72,12,83,12,0,22,88,35,1,52.77
7.15,6.43,100,50,57,6,0,98,39,39,16,75.22
5.47,8.84,45,55,52,69,0,28,82,11,3,60.54
9.2,5.45,13,31,66,75,1,18,32,19,19,65.02
7.2,7.63,78,82,89,77,0,94,48,10,20,96.46
5.49,5.63,24,90,57,52,1,72,56,9,16,72.5
6.85,6.42,47,38,72,77,1,85,81,67,2,76.49
7.83,9.09,100,96,50,46,0,13,82,67,5,61.27
8.8,8.59,68,29,89,2,0,26,92,67,3,52.09
8.27,6.75,69,34,93,43,1,10,47,27,6,54.29
8.65,6.69,88,92,78,69,1,20,74,8,17,73.73
5.97,8.87,72,85,88,16,0,65,86,70,7,66.56
8.03,6.19,66,70,94,96,1,69,74,39,18,89.66
6.21,7.44,37,69,98,56,1,25,58,2,1,57.69
8.39,9.3,30,57,95,87,0,36,57,12,20,82.26
6.03,9.02,68,97,79,54,0,72,65,46,11,79.35
6.88,8.38,38,26,78,80,1,82,93,85,6,80.33
5.08,6.95,94,30,58,35,0,75,61,45,9,66.68
5.53,8.59,67,43,84,25,1,14,88,16,11,52.57
6.83,7.01,31,11,74,36,0,87,92,78,10,70.38
8.06,6.32,88,21,61,14,1,97,79,73,18,77.71
6.55,7.62,24,86,74,94,0,12,76,22,0,60.58
8.3,9.38,79,80,58,17,1,42,81,56,15,69.21
6.03,7.4,10,59,74,78,0,63,70,63,10,72.27
8.11,6.83,43,70,69,63,1,12,85,83,8,58.66
